N,K,time
1935000,615,122.103966
1936000,588,330.683411
1937000,597,128.959595
1938000,596,108.564705
1939000,632,90.901550
1940000,621,113.187614
1941000,596,95.149536
1942000,620,127.574478
1943000,67,120.997231
1944000,61,115.696526
1945000,68,123.908676
1946000,62,124.832283
1947000,68,124.421494
1948000,68,128.436279
1949000,71,120.426453
1950000,598,195.454590
1951000,618,110.656837
1952000,596,132.662491
1953000,602,126.134064
1954000,606,102.306114
1955000,632,129.176025
1956000,56,120.566048
1957000,617,120.602325
1958000,60,162.303589
1959000,58,127.683487
1960000,70,139.907654
1961000,74,124.207840
1962000,61,116.819984
1963000,60,111.471230
1964000,61,132.334930
1965000,61,130.364136
1966000,64,115.021194
1967000,69,134.099945
1968000,70,136.367584
1969000,70,121.091835
1970000,2000,182.391281
1971000,613,95.637268
1972000,606,103.306328
1973000,621,110.876434
1974000,67,131.367554
1975000,603,126.052094
1976000,608,111.248268
1977000,672,139.221115
1978000,608,125.158836
1979000,603,128.636948
1980000,621,126.177818
1981000,607,134.207916
1982000,651,116.214546
1983000,610,75.511131
1984000,593,91.876297
1985000,588,80.341927
1986000,609,78.356705
1987000,652,115.370148
1988000,610,88.557884
1989000,594,89.579910
1990000,613,99.289124
1991000,650,129.880905
1992000,636,115.011833
1993000,639,169.553757
1994000,625,116.952385
1995000,599,113.559357
1996000,62,144.342316
1997000,58,147.959366
1998000,67,125.512360
1999000,80,116.123535
2000000,56,128.342850
2001000,656,122.755821
2002000,62,117.777184
2003000,69,115.988464
2004000,57,128.903656
2005000,63,116.237488
2006000,73,144.914001
2007000,62,145.439392
2008000,71,122.514549
2009000,68,131.776215
2010000,72,138.828934
2011000,665,103.913513
2012000,65,121.671265
2013000,2400,216.745270
2014000,65,127.039330
2015000,586,119.114777
2016000,601,97.894066
2017000,648,107.811836
2018000,623,156.163803
2019000,634,110.316330
2020000,2208,201.245972
2021000,4245,226.130249
2022000,2406,189.393738
2023000,643,144.371124
2024000,2137,185.606232
2025000,624,163.808502
2026000,648,107.556625
2027000,630,120.430092
2028000,588,133.036453
2029000,629,90.722412
2030000,2407,121.018600
2031000,643,124.979469
2032000,643,99.823830
2033000,655,142.501434
2034000,635,92.218460
2035000,626,155.952789
2036000,666,94.287621
2037000,635,122.487419
2038000,661,98.361015
2039000,636,134.616791
2040000,73,121.388954
2041000,2210,210.753922
2042000,629,123.840195
2043000,2213,221.942825
2044000,627,115.443741
2045000,626,113.113983
2046000,669,93.528404
2047000,644,125.258919
2048000,615,130.816467
2049000,606,117.790833
2050000,684,171.559113
2051000,657,133.493103
2052000,642,118.812675
2053000,620,97.801735
2054000,68,121.140053
2055000,68,125.102791
2056000,69,133.948441
2057000,642,130.794418
2058000,661,114.208542
2059000,673,106.600723
2060000,624,115.279770
2061000,660,118.729858
2062000,649,119.236557
2063000,638,109.886742
2064000,650,129.912247
2065000,633,134.102875
2066000,640,115.842262
2067000,678,124.908600
2068000,2235,180.156433
2069000,656,126.704643
2070000,608,112.164444
2071000,655,130.548248
2072000,641,122.192535
2073000,668,85.916939
2074000,673,104.501198
2075000,620,130.672607
2076000,662,147.351501
2077000,649,118.515732
2078000,648,130.328110
2079000,674,110.126045
2080000,682,115.428726
2081000,669,151.712234
2082000,612,137.620453
2083000,626,117.014374
2084000,642,152.784729
2085000,687,307.845337
2086000,671,108.140892
2087000,633,107.731224
2088000,655,112.411079
2089000,654,109.158745
2090000,658,117.081886
2091000,74,147.434525
2092000,68,129.125946
2093000,80,125.048866
2094000,76,141.750580
2095000,66,122.732414
2096000,71,111.087547
2097000,69,139.159744
2098000,54,113.057594
2099000,648,115.263824
2100000,671,131.767410
2101000,645,124.062515
2102000,672,129.711075
2103000,658,159.463211
2104000,72,126.283867
2105000,2133,202.607986
2106000,67,137.358185
2107000,637,128.953491
2108000,74,127.298759
2109000,2130,229.824646
