s,k,time
135801,0,83.453979
135901,0,75.272369
136001,0,68.818031
136101,1,75.279709
136201,0,85.908485
136301,1,78.545052
136401,0,84.999512
136501,1,81.454056
136601,0,79.181450
136701,1,67.636261
136801,0,75.090546
136901,0,75.635895
137001,0,87.817535
137101,0,64.727219
137201,1,889.792908
137301,0,84.362968
137401,0,83.454071
137501,0,79.272285
137601,0,82.545074
137701,0,75.636177
137801,0,72.090630
137901,0,80.363106
138001,0,76.908813
138101,0,77.090553
138201,0,76.090576
138301,0,80.726738
138401,0,76.181450
138501,0,71.636024
138601,0,84.181236
138701,0,71.999763
138801,0,85.090302
138901,0,81.090317
139001,0,77.454147
139101,0,74.545097
139201,0,83.635956
139301,0,80.363129
139401,0,82.454063
139501,0,68.727043
139601,0,81.454155
139701,0,70.181526
